Mes;Semana;Dia;Hora;Hora (24h);Cosumo (W);Velocidad viento;Generación Eólica;Irradiencia FV (W/m2);Irradiencia (90º) FV (W/m2);Generación (90º) FV (W);Generación (comvencional) FV (W);Generación Total (W);Excedente (W);Batería (W);Nuevo Consumo;Último Consumo;Nuevo Excedente;;;;;;;;;
Enero;1;Lunes;1;0:00:00;757,2;3,8401258;0;0;0;0;0;0;0;39242,8;757,2;0;0;;Potencia pico Wp;Eficiencia PV;Pérdidas;Área;Número FV;Potencia nominal;;
;;;2;1:00:00;362;3,707202;0;0;0;0;0;0;0;38881;362;0;0;;7500;0,231;0,8;32,4;12;625;;
;;;3;2:00:00;52;3,242127;0;0;0;0;0;0;0;38829;52;0;0;;;;;;;;;
;;;4;3:00:00;52;3,0009387;0;0;0;0;0;0;0;38777;52;0;0;;Potencia pico Wp (90º);Eficiencia PV;Pérdidas;Área;Potencia nominal;área de modulo (m^2);Nº modulos;max
;;;5;4:00:00;52;2,513899;0;0;0;0;0;0;0;38725;52;0;0;;12800;0,231;0,8;115,5;256;2,31;50;12,98701299
;;;6;5:00:00;52;2,4296749;0;0;0;0;0;0;0;38673;52;0;0;;;;4;;;;;
;;;7;6:00:00;399,6;2,5918438;0;0;0;0;0;0;0;38273;399,6;0;0;;Capacidad Total Batería (W);superficie de techo;;;30;m^2;;
;;;8;7:00:00;2365,45;2,585282;0;0;0;0;0;0;0;35908;2365,45;0;0;;40000;;;;;;;
;;;9;8:00:00;2160,45;2,7053583;0;19,61;27,33;200,8064;117,66;117,66;0;33865;2042,79;0;0;;;;;;;;;
;;;10;9:00:00;1311,81;2,8745434;0;188,03;252,1;1925,4272;1128,18;1128,18;0;33681;183,63;0;0;;;;;;;;;
;;;11;10:00:00;1676,25;2,5516052;0;394,21;352,83;4036,7104;2365,26;2365,26;689,01;34370;0;0;0;;;;;;;;;
;;;12;11:00:00;232;2,0544934;0;757,36;297,27;7755,3664;4544,16;4544,16;4312,16;38683;0;0;2994,66;;;;;;;;;
;;;13;12:00:00;52;1,4843547;0;878,15;125,01;8992,256;5268,9;5268,9;5216,9;40000;0;0;5216,9;;;;;;;;;
